�..sale_date,chrome_style_id,country_code,customer_postal_code,days_in_inventory,dealership_id,dealership_postal_code,dma_id,finance_type,make_name,model_name,model_year,new_or_used,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
1/3/2019 0:00,398232,US,30290-2809,NA,1049,30291,524,LOAN,INFINITI,QX60,2019,NEW,102,42726,NA,36608.42,dmi,RETAIL,GA,PURE FWD,5,FALSE,36956.19,BELOW_MARKET,40054.75,FALSE,
1/3/2019 0:00,402331,US,21228-3913,NA,80173,21061,512,LOAN,Hyundai,Santa Fe,2019,NEW,11,29461,31100,31100,dmi,DEALER_TRADE,MD,SEL 2.4L AWD,3,FALSE,31395.45,ABOVE_MARKET,29757.24,FALSE,1.0095
1/3/2019 0:00,394715,US,19021-5135,NA,154765,8852,501,CASH,Hyundai,Elantra,2018,NEW,NA,NA,NA,NA,dmi,,NJ,Limited 2.0L Sedan Automatic,3,FALSE,,,NA,TRUE,
1/3/2019 0:00,403135,US,34772-7599,NA,7123,32901,534,LOAN,Hyundai,Elantra,2019,NEW,26,20968,21460,25115.86,dmi,RETAIL,FL,Value Edition 2.0L Automatic,5,FALSE,21165.03,GOOD,20635.86,TRUE,0.986254893
1/3/2019 0:00,394685,US,02370-1052,NA,30065,6475,533,LOAN,Hyundai,Sonata,2018,NEW,10,22283,23255,22012,dmi,DEALER_TRADE,CT,SE 2.4L (SULEV),3,FALSE,,,NA,FALSE,
1/3/2019 0:00,394692,US,87123,191,5280,87112,790,CASH,Hyundai,Sonata,2018,NEW,251,NA,24945,22887,lhm,,NM,SEL 2.4L,6,FALSE,22859.53,BELOW_MARKET,23770.79,FALSE,0.916397274
1/3/2019 0:00,403587,US,32778-4512,NA,6588,34788,534,LOAN,Hyundai,Sonata,2019,NEW,12,24829,25955,26826.87,dmi,RETAIL,FL,Sport 2.4L,5,FALSE,26576.97,ABOVE_MARKET,24990.01,FALSE,1.023963398
1/3/2019 0:00,403588,US,47404,115,40634,47403,527,,Hyundai,Sonata,2019,NEW,32,27544,28790,27349,reynolds,RETAIL,IN,Limited 2.4L,2,FALSE,27392.75,GREAT,27666.59,FALSE,0.951467523
1/3/2019 0:00,401710,US,21078,52,18451,21014,512,,Toyota,Highlander,2019,NEW,22,37791.77,39034,36318,reynolds,RETAIL,MD,LE V6 AWD,3,FALSE,35875.3,BELOW_MARKET,38746.88,FALSE,0.919078239
1/3/2019 0:00,401710,US,11581,71,34726,11581,501,,Toyota,Highlander,2019,NEW,7,33839.77,36154,39021.73,reynolds,RETAIL,NY,LE V6 AWD,3,FALSE,,,NA,NA,
