dma_id,finance_type,make_name,model_name,model_year,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
618,UNKNOWN,Ford,Super Duty F-250,2019,30,43570.78,46680,41700,reynolds,RETAIL,TX,XL 4WD Crew Cab 6.75' Box,6,FALSE,41766.72,LOW_OUTLIER,46973.67,FALSE,0.894745501
652,UNKNOWN,Ford,Super Duty F-250,2019,5,66781.04,73280,68937.04,netlink,DEALER_TRADE,NE,XL 4WD Crew Cab 6.75' Box,2,FALSE,69247.25,LOW_OUTLIER,87770.1,FALSE,0.944967931
512,LOAN,Ford,Super Duty F-250,2019,5,60156.04,63925,60156.04,dmi,DEALER_TRADE,MD,XL 4WD Crew Cab 6.75' Box,3,FALSE,60727.52,GOOD,60586.9,FALSE,0.949980759
751,LOAN,Ford,Super Duty F-250,2019,38,82769.1,93416,85930.38,dmi,RETAIL,CO,XL 4WD Crew Cab 6.75' Box,6,FALSE,86878.72,LOW_OUTLIER,109795.23,TRUE,0.930019697
758,UNKNOWN,Ford,Super Duty F-350,2019,25,65600.88,71825,65600.88,netlink,DEALER_TRADE,ID,XL 4WD Crew Cab 8' Box DRW,4,FALSE,65896.08,LOW_OUTLIER,68327.98,FALSE,0.917453254
501,CASH,Ford,Super Duty F-250,2019,26,35336.72,40100,33108,dmi,FLEET,NY,XL 4WD Reg Cab 8' Box,3,FALSE,33422.52,LOW_OUTLIER,38021.92,FALSE,0.833479302
803,LOAN,Ford,F-150,2018,328,38928.51,42500,37001.49,dmi,RETAIL,CA,XL 2WD SuperCrew 5.5' Box,7,FALSE,37353,LOW_OUTLIER,40398.58,FALSE,0.878894118
623,LOAN,Ford,F-150,2018,423,53470.24,57360,51275,dmi,RETAIL,TX,Lariat 4WD SuperCrew 5.5' Box,6,FALSE,51762.11,GREAT,52765.59,FALSE,0.902407775
501,LOAN,Ford,F-150,2019,25,43125.67,45185,43125.67,dmi,DEALER_TRADE,NJ,XL SuperCrew 5.5' Box 4WD,3,FALSE,43535.36,ABOVE_MARKET,42408.19,FALSE,0.963491424
623,LOAN,Ford,F-150,2018,5,63317.86,67975,61486.86,dmi,DEALER_TRADE,TX,Platinum 4WD SuperCrew 5.5' Box,6,FALSE,62070.98,GREAT,62277.08,FALSE,0.913144244
560,CASH,Ford,F-150,2018,26,53427.56,57340,51752.56,dmi,DEALER_TRADE,NC,Lariat 4WD SuperCrew 5.5' Box,5,FALSE,52244.2,GREAT,53535.2,FALSE,0.911130101
561,UNKNOWN,Ford,F-150,2018,25,62958.24,69714.98,65801,reynolds,RETAIL,FL,Raptor 4WD SuperCrew 5.5' Box,5,FALSE,65906.28,BELOW_MARKET,68599.37,FALSE,0.945367552
803,LOAN,Ford,Transit Van,2018,19,36358.65,38355,37358,dmi,RETAIL,CA,"T-250 148"" Medium Roof 9000 GVWR Sliding RH Door",7,FALSE,37712.9,GOOD,37231.9,FALSE,0.983259028
602,LOAN,Chevrolet,Impala,2019,3,32677.74,34240,32677.74,dmi,DEALER_TRADE,IL,LT with 1LT,2,FALSE,32988.17,GREAT,33569.91,FALSE,0.963439544
602,LOAN,Chevrolet,Cruze,2019,6,19951.64,37080.58,20490,dmi,RETAIL,IL,LS with 1SB Sedan,2,FALSE,20684.65,ABOVE_MARKET,20165.6,FALSE,0.91151
770,UNKNOWN,Chevrolet,Cruze,2018,3775,21389.7,22325,20890,reynolds,RETAIL,UT,LT with 1SD Sedan Automatic,7,FALSE,20923.42,GOOD,20924.5,FALSE,0.937219261
503,UNKNOWN,Chevrolet,Cruze,2019,25,22948.95,22700,21423,reynolds,RETAIL,GA,LT with 1SD Sedan,5,FALSE,21206.87,GOOD,21104.79,FALSE,0.934223348
625,LOAN,Chevrolet,Cruze,2019,4,23434.64,23795,23794.72,dmi,RETAIL,TX,LT with 1SD Sedan,6,FALSE,22910.31,GOOD,22559.12,FALSE,0.96282034
